timestamp,location,wi_fi_bssid,wi_fi_signal_state,wi_fi_signal_attrs,bermuda_area_state,bermuda_area_attrs,bermuda_distance_state,bermuda_distance_attrs,bermuda_tracker_state,bermuda_tracker_attrs
2025-11-13T19:27:22.507904+00:00,"utility door","04:42:1a:33:91:64","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-74","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-1"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Hallway","{""area_id"": ""3f079567e19f4b60aacf82f6cb69c4c9"", ""area_name"": ""Hallway"", ""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","3.5","{""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Hallway"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""rpi_rebooter"", ""source_type"": ""bluetooth_le""}"
2025-11-13T19:27:24.414267+00:00,"utility door","04:42:1a:33:91:64","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-74","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-1"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Hallway","{""area_id"": ""3f079567e19f4b60aacf82f6cb69c4c9"", ""area_name"": ""Hallway"", ""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","3.5","{""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Hallway"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""rpi_rebooter"", ""source_type"": ""bluetooth_le""}"
2025-11-13T19:27:29.265594+00:00,"utility door","04:42:1a:33:91:64","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-74","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-1"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Hallway","{""area_id"": ""3f079567e19f4b60aacf82f6cb69c4c9"", ""area_name"": ""Hallway"", ""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","1.2","{""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Hallway"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""rpi_rebooter"", ""source_type"": ""bluetooth_le""}"
2025-11-13T19:27:46.931572+00:00,"patio door","04:42:1a:33:91:64","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-74","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-1"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Dining Area","{""area_id"": ""4a717313f08d43c19700b672f44f644b"", ""area_name"": ""Dining Area"", ""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.3","{""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Dining Area"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""front-door-proxy"", ""source_type"": ""bluetooth_le""}"
2025-11-13T19:27:48.955846+00:00,"patio door","04:42:1a:33:91:64","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-74","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-1"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Dining Area","{""area_id"": ""4a717313f08d43c19700b672f44f644b"", ""area_name"": ""Dining Area"", ""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.2","{""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Dining Area"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""front-door-proxy"", ""source_type"": ""bluetooth_le""}"
2025-11-13T19:28:06.299920+00:00,"test desk","04:42:1a:33:91:64","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-74","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-1"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Hallway","{""area_id"": ""3f079567e19f4b60aacf82f6cb69c4c9"", ""area_name"": ""Hallway"", ""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.0","{""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Hallway"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""rpi_rebooter"", ""source_type"": ""bluetooth_le""}"
2025-11-13T19:28:07.396627+00:00,"test desk","04:42:1a:33:91:64","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-74","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-1"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Hallway","{""area_id"": ""3f079567e19f4b60aacf82f6cb69c4c9"", ""area_name"": ""Hallway"", ""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.0","{""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Hallway"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""rpi_rebooter"", ""source_type"": ""bluetooth_le""}"
2025-11-13T19:28:20.350671+00:00,"inside front door","04:42:1a:33:91:64","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-74","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-1"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Hallway","{""area_id"": ""3f079567e19f4b60aacf82f6cb69c4c9"", ""area_name"": ""Hallway"", ""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.0","{""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Hallway"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""rpi_rebooter"", ""source_type"": ""bluetooth_le""}"
2025-11-13T19:28:22.158692+00:00,"inside front door","04:42:1a:33:91:64","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-74","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-1"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Hallway","{""area_id"": ""3f079567e19f4b60aacf82f6cb69c4c9"", ""area_name"": ""Hallway"", ""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.0","{""current_mac"": ""45:a7:18:f3:91:86"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Hallway"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""rpi_rebooter"", ""source_type"": ""bluetooth_le""}"
2025-11-13T22:12:58.663945+00:00,"inside front door","04:42:1a:33:91:64","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-52","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-3"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Dining Area","{""area_id"": ""4a717313f08d43c19700b672f44f644b"", ""area_name"": ""Dining Area"", ""current_mac"": ""4c:3f:a9:a1:17:b9"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.5","{""current_mac"": ""4c:3f:a9:a1:17:b9"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Dining Area"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""zane-proxy"", ""source_type"": ""bluetooth_le""}"
2025-11-13T22:13:13.170611+00:00,"patio door","04:42:1a:33:91:64","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-52","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-3"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Dining Area","{""area_id"": ""4a717313f08d43c19700b672f44f644b"", ""area_name"": ""Dining Area"", ""current_mac"": ""4c:3f:a9:a1:17:b9"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.2","{""current_mac"": ""4c:3f:a9:a1:17:b9"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Dining Area"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""zane-proxy"", ""source_type"": ""bluetooth_le""}"
